School Name,Index,has_search_index
Hempstead Independent School District,2241,False
Henderson ISD,958,False
Hennessey Public School,366,False
Henrietta ISD,755,False
Hereford ISD,2218,False
Hermantown Community Schools,2711,True
Hermiston School District,1544,True
Hershey Public Schools,58,False
Hickman County Schools,562,False
Hico ISD,656,True
Hidalgo ISD,2062,False
High Plains Community Schools,74,False
Highland ISD,1398,False
Highland Park ISD- Dallas County,2024,True
Highland Park ISD-Potter County,935,False
Hill City School,1074,True
Hill College,1013,False
Hill County SSA,2106,False
Hilldale Public Schools,Hilldale,False
Hillsboro ISD,953,False
Hillsboro School District 1J,1540,False
Hillsdale County ISD,1101,False
Hinckley-Big Rock CUSD No.429,1228,False
Hitchcock ISD,1009,False
Holbrook Unified School District 3,1359,False
Holdrege Public Schools,51,False
Holland ISD,2290,False
Holland Township School,1928,False
Hollandale School District,2384,False
Holliday Independent School District,1881,False
Holly Area Schools,1471,True
Holmes County Consolidated School District,974,False
Homedale Jt. School District 370,2069,False
Homer CCSD 33C,1742,False
Homer Community School,472,True
Hondo Independent School District,640,True
Honey Grove I.S.D.,1224,False
Hooks ISD,2309,False
Horizon Montessori Public Schools,2035,False
Houghton Lake Community Schools,1030,False
House Municipal Schools,2760,True
Houston Community College,3045,True
Howard College,1861,False
Howell Public Schools,1421,False
HTRS Public Schools,184,False
Hubbard ISD - Hill County,2013,True
Huckabay ISD,975,False
Hudson ISD,1672,False
Huffman ISD,2641,True
Hugo Public Schools,2813,True
Humboldt City School District,565,False
Huntington ISD,946,False
Huntley Community School District 158,1422,True
Huntsville ISD,736,False
Huron Intermediate School District,961,False
Hutto ISD,749,True
Hydaburg City School District,1529,False
Idabel Public Schools,341,True
