school_district,state
"Randolph Central School District, New York",New_York
"Center Moriches Union Free School District, New York",New_York
"Raquette Lake Union Free School District, New York",New_York
"Red Hook Central School District, New York",New_York
"Remsenburg-Speonk Union Free School District, New York",New_York
"Monticello Central School District, New York",New_York
"Spencer-Van Etten Central School District, New York",New_York
"Wainscott Common School District, New York",New_York
"Wallkill Central School District, New York",New_York
"Walton Central School District, New York",New_York
"Wantagh Union Free School District, New York",New_York
"Warrensburg Central School District, New York",New_York
"Warsaw Central School District, New York",New_York
"Warwick Valley Central School District, New York",New_York
"Waterville Central School District, New York",New_York
"Watervliet City School District, New York",New_York
"Wayland-Cohocton Central School District, New York",New_York
"North Merrick Union Free School District, New York",New_York
"Palmyra-Macedon Central School District, New York",New_York
"Webster Central School District, New York",New_York
"Hamburg Central School District, New York",New_York
"Candor Central School District, New York",New_York
"Cazenovia Central School District, New York",New_York
"Jordan-Elbridge Central School District, New York",New_York
"Katonah-Lewisboro School District, New York",New_York
"Cooperstown Central School District, New York",New_York
"Bayport-Blue Point Union Free School District, New York",New_York
"Mount Morris Central School District, New York",New_York
"Rochester City School District, New York",New_York
"Oyster Bay-East Norwich Central School District, New York",New_York
"Whitehall Central School District, New York",New_York
"Averill Park Central School District, New York",New_York
"East Moriches Union Free School District, New York",New_York
"Dover Union Free School District, New York",New_York
"Gorham-Middlesex (Marcus Whitman) Central School District, New York",New_York
"Sherman Central School District, New York",New_York
"Greenwood Lake Union Free School District, New York",New_York
"Saranac Lake Central School District, New York",New_York
"Avoca Central School District, New York",New_York
"Royalton-Hartland Central School District, New York",New_York
"Buffalo Public Schools, New York",New_York
"Newcomb Central School District, New York",New_York
"North Syracuse Central School District, New York",New_York
"Bethpage Union Free School District, New York",New_York
"Hampton Bays Union Free School District, New York",New_York
"North Salem Central School District, New York",New_York
"Sauquoit Valley Central School District, New York",New_York
"Attica Central School District, New York",New_York
"Newburgh Enlarged City School District, New York",New_York
"Mount Vernon City School District, New York",New_York
"Wheelerville Union Free School District, New York",New_York
"Olean City School District, New York",New_York
"Margaretville Central School District, New York",New_York
"South Lewis Central School District, New York",New_York
"Lake Shore Central School District, New York",New_York
"Peekskill City School District, New York",New_York
"Westport Central School District, New York",New_York
"Pavilion Central School District, New York",New_York
"Phoenix Central School District, New York",New_York
"Peru Central School District, New York",New_York
"Yonkers Public Schools, New York",New_York
"Brighton Central School District, New York",New_York
"Rondout Valley Central School District, New York",New_York
"Pine Plains Central School District, New York",New_York
"Onondaga Central School District, New York",New_York
"Northeastern Clinton Central School District, New York",New_York
"Holland Patent Central School District, New York",New_York
"Island Park Union Free School District, New York",New_York
"Northern Adirondack Central School District, New York",New_York
"Minisink Valley Central School District, New York",New_York
"Clarence Central School District, New York",New_York
"Lake George Central School District, New York",New_York
"AuSable Valley Central School District, New York",New_York
"Cobleskill-Richmondville Central School District, New York",New_York
"Mount Pleasant Cottage School Union Free School District, New York",New_York
"Penn Yan Central School District, New York",New_York
"Great Neck Public Schools, New York",New_York
"Whitesboro Central School District, New York",New_York
"Sewanhaka Central High School District, New York",New_York
"Belleville Henderson Central School District, New York",New_York
"Ripley Central School District, New York",New_York
"Bedford Central School District, New York",New_York
"Bellmore-Merrick Central High School District, New York",New_York
"Bellmore Union Free School District, New York",New_York
"Yorktown Central School District, New York",New_York
"Bath Central School District, New York",New_York
"Patchogue-Medford Union Free School District, New York",New_York
"Schoharie Central School District, New York",New_York
"Binghamton City School District, New York",New_York
"Cornwall Central School District, New York",New_York
"Rotterdam-Mohonasen Central School District, New York",New_York
"Brentwood Union Free School District, New York",New_York
"Friendship Central School District, New York",New_York
"Saranac Central School District, New York",New_York
"Sagaponack Common School District, New York",New_York
"Milford Central School District, New York",New_York
"Union Springs Central School District, New York",New_York
"Briarcliff Manor Union Free School District, New York",New_York
"Jefferson Central School District, New York",New_York
"Lindenhurst Union Free School District, New York",New_York
"Marion Central School District, New York",New_York
"Herkimer Central School District, New York",New_York
"Sweet Home Central School District, New York",New_York
"Sharon Springs Central School District, New York",New_York
"Ardsley Union Free School District, New York",New_York
"Greenburgh-Abbott School District, New York",New_York
"Cassadaga Valley Central School District, New York",New_York
"Alamance-Burlington School System, North Carolina",North_Carolina
"Alexander County Schools, North Carolina",North_Carolina
"Cherokee County Schools, North Carolina",North_Carolina
"Alleghany County Schools, North Carolina",North_Carolina
"Wilson County Schools, North Carolina",North_Carolina
"Anson County Schools, North Carolina",North_Carolina
"Polk County Schools, North Carolina",North_Carolina
"Ashe County Schools, North Carolina",North_Carolina
"Asheboro City Schools, North Carolina",North_Carolina
"Asheville City Schools, North Carolina",North_Carolina
"Edgecombe County Schools, North Carolina",North_Carolina
"Avery County Schools, North Carolina",North_Carolina
"Beaufort County Schools, North Carolina",North_Carolina
"Scotland County Schools, North Carolina",North_Carolina
"Swain County Schools, North Carolina",North_Carolina
"Chatham County Schools, North Carolina",North_Carolina
"Mitchell County Schools, North Carolina",North_Carolina
"Orange County Schools, North Carolina",North_Carolina
"Buncombe County Schools, North Carolina",North_Carolina
"Camden County Schools, North Carolina",North_Carolina
"McDowell County Schools, North Carolina",North_Carolina
"Carteret County Public Schools, North Carolina",North_Carolina
"Hickory City Schools, North Carolina",North_Carolina
"Chapel Hill-Carrboro City Schools, North Carolina",North_Carolina
"Charlotte-Mecklenburg Schools, North Carolina",North_Carolina
"Cleveland County Schools, North Carolina",North_Carolina
"Currituck County Schools, North Carolina",North_Carolina
"Dare County Schools, North Carolina",North_Carolina
"Duplin County Schools, North Carolina",North_Carolina
"Jackson County Schools, North Carolina",North_Carolina
"Sampson County Schools, North Carolina",North_Carolina
"Gates County Schools, North Carolina",North_Carolina
"Graham County Schools, North Carolina",North_Carolina
"Greene County Schools, North Carolina",North_Carolina
"Lenoir County Public Schools, North Carolina",North_Carolina
"Henderson County Public Schools, North Carolina",North_Carolina
"Hyde County Schools, North Carolina",North_Carolina
"Jones County Schools, North Carolina",North_Carolina
